[2021-05-21 14:19:53][WebRTC][main-2] onActivityDestroyed com.hanvon.ocr.idcard.IDCardCameraActivity
[2021-05-21 14:19:55][WebRTC][main-2] onActivityPaused com.yitong.mbank.psbc.utils.webview.WebViewActivity
[2021-05-21 14:19:55][WebRTC][main-2] onActivityCreated com.hanvon.ocr.idcard.IDCardCameraActivity
[2021-05-21 14:19:55][WebRTC][main-2] onActivityStarted com.hanvon.ocr.idcard.IDCardCameraActivity
[2021-05-21 14:19:55][WebRTC][main-2] onActivityResumed com.hanvon.ocr.idcard.IDCardCameraActivity
[2021-05-21 14:19:55][WebRTC][main-2] onActivityStopped com.yitong.mbank.psbc.utils.webview.WebViewActivity
[2021-05-21 14:20:04][WebRTC][main-2] onActivityPaused com.hanvon.ocr.idcard.IDCardCameraActivity
[2021-05-21 14:20:04][WebRTC][main-2] onActivityStarted com.yitong.mbank.psbc.utils.webview.WebViewActivity
[2021-05-21 14:20:04][WebRTC][main-2] onActivityResumed com.yitong.mbank.psbc.utils.webview.WebViewActivity
[2021-05-21 14:20:05][WebRTC][main-2] onActivityStopped com.hanvon.ocr.idcard.IDCardCameraActivity
[2021-05-21 14:20:05][WebRTC][main-2] onActivityDestroyed com.hanvon.ocr.idcard.IDCardCameraActivity
[2021-05-21 14:20:11][WebRTC][main-2] onActivityPaused com.yitong.mbank.psbc.utils.webview.WebViewActivity
[2021-05-21 14:20:11][WebRTC][main-2] onActivityCreated com.eyecool.live.EyeCoolLiveActivity
[2021-05-21 14:20:12][WebRTC][main-2] onActivityStarted com.eyecool.live.EyeCoolLiveActivity
[2021-05-21 14:20:12][WebRTC][main-2] onActivityResumed com.eyecool.live.EyeCoolLiveActivity
[2021-05-21 14:20:13][WebRTC][main-2] onActivityStopped com.yitong.mbank.psbc.utils.webview.WebViewActivity
[2021-05-21 14:20:49][WebRTC][main-2] onActivityPaused com.eyecool.live.EyeCoolLiveActivity
[2021-05-21 14:20:49][WebRTC][main-2] onActivityStarted com.yitong.mbank.psbc.utils.webview.WebViewActivity
[2021-05-21 14:20:49][WebRTC][main-2] onActivityResumed com.yitong.mbank.psbc.utils.webview.WebViewActivity
[2021-05-21 14:20:49][WebRTC][main-2] onActivityStopped com.eyecool.live.EyeCoolLiveActivity
[2021-05-21 14:20:49][WebRTC][main-2] onActivityDestroyed com.eyecool.live.EyeCoolLiveActivity
[2021-05-21 14:22:14][WebRTC][main-2] onActivityPaused com.yitong.mbank.psbc.utils.webview.WebViewActivity
[2021-05-21 14:22:14][WebRTC][main-2] onActivityStarted com.yitong.mbank.psbc.android.activity.LoginActivity
[2021-05-21 14:22:14][WebRTC][main-2] onActivityResumed com.yitong.mbank.psbc.android.activity.LoginActivity
[2021-05-21 14:22:15][WebRTC][main-2] onActivityStopped com.yitong.mbank.psbc.utils.webview.WebViewActivity
[2021-05-21 14:22:15][WebRTC][main-2] onActivityDestroyed com.yitong.mbank.psbc.utils.webview.WebViewActivity
[2021-05-21 14:22:40][WebRTC][main-2] onActivityPaused com.yitong.mbank.psbc.android.activity.LoginActivity
[2021-05-21 14:22:40][WebRTC][main-2] onActivityCreated com.yitong.mbank.psbc.utils.webview.WebViewActivity
[2021-05-21 14:22:40][WebRTC][main-2] onActivityStarted com.yitong.mbank.psbc.utils.webview.WebViewActivity
[2021-05-21 14:22:40][WebRTC][main-2] onActivityResumed com.yitong.mbank.psbc.utils.webview.WebViewActivity
[2021-05-21 14:22:41][WebRTC][main-2] onActivityStopped com.yitong.mbank.psbc.android.activity.LoginActivity
[2021-05-21 14:22:41][WebRTC][main-2] onActivityDestroyed com.yitong.mbank.psbc.android.activity.LoginActivity
[2021-05-21 14:22:55][WebRTC][main-2] onActivityPaused com.yitong.mbank.psbc.utils.webview.WebViewActivity
[2021-05-21 14:22:56][WebRTC][main-2] onActivityStopped com.yitong.mbank.psbc.utils.webview.WebViewActivity
[2021-05-21 14:23:09][WebRTC][main-2] onActivityStarted com.yitong.mbank.psbc.utils.webview.WebViewActivity
[2021-05-21 14:23:09][WebRTC][main-2] onActivityResumed com.yitong.mbank.psbc.utils.webview.WebViewActivity
[2021-05-21 14:23:16][WebRTC][main-2] onActivityPaused com.yitong.mbank.psbc.utils.webview.WebViewActivity
[2021-05-21 14:23:16][WebRTC][main-2] onActivityCreated com.yitong.mbank.psbc.utils.webview.WebViewActivity
[2021-05-21 14:23:16][WebRTC][main-2] onActivityStarted com.yitong.mbank.psbc.utils.webview.WebViewActivity
[2021-05-21 14:23:16][WebRTC][main-2] onActivityResumed com.yitong.mbank.psbc.utils.webview.WebViewActivity
[2021-05-21 14:23:17][WebRTC][main-2] onActivityStopped com.yitong.mbank.psbc.utils.webview.WebViewActivity
